楼主ID,评论者ID,话题内容,评论内容,评论者昵称,评论者性别,是否认证,认证类型,是否认证金v,发博数量,关注人数,粉丝数,微博等级,发布日期,评论日期,评论时间,回复量,点赞量
5515990153,5337661918,去年今日LCK已公布亚运会十人选拔大名单，根据今年的队伍表现来看估计改动不大。而LPL的选人手续则比较繁琐，去年的春季冠亚军为全华班RNG与TES，而今年两队早已双双淘汰。大名单则要根据选手大会产生的集训队根据集训表现来确定。但最终缝缝补补也得产生一个全华班亚运阵容，根据春季赛表现：369 Jiejie Knight Elk Missing，把合理打在公屏上 #电竞星联盟##杭州亚运会#,错了 辅助首发肯定是meiko missing是替补 然后meiko象征性打两把就下了  替补missing刀都砍卷了,ai爱森yu,m,False,-1,0,429,279,75,9,2023/04/17,2023/4/17,08:34:02,10,39
5515990153,5718068218,去年今日LCK已公布亚运会十人选拔大名单，根据今年的队伍表现来看估计改动不大。而LPL的选人手续则比较繁琐，去年的春季冠亚军为全华班RNG与TES，而今年两队早已双双淘汰。大名单则要根据选手大会产生的集训队根据集训表现来确定。但最终缝缝补补也得产生一个全华班亚运阵容，根据春季赛表现：369 Jiejie Knight Elk Missing，把合理打在公屏上 #电竞星联盟##杭州亚运会#,莲感觉时间差不多了得去让老公剖出来了,天选之6,m,False,-1,0,242,203,2,4,2023/04/17,2023/4/17,10:37:56,0,0
5515990153,6329191867,去年今日LCK已公布亚运会十人选拔大名单，根据今年的队伍表现来看估计改动不大。而LPL的选人手续则比较繁琐，去年的春季冠亚军为全华班RNG与TES，而今年两队早已双双淘汰。大名单则要根据选手大会产生的集训队根据集训表现来确定。但最终缝缝补补也得产生一个全华班亚运阵容，根据春季赛表现：369 Jiejie Knight Elk Missing，把合理打在公屏上 #电竞星联盟##杭州亚运会#,看起来左手是真强啊，哪年决赛都有他,雨夜EVU66666,m,False,-1,0,2,21,1,4,2023/04/17,2023/4/17,10:39:07,3,0
7231104173,6033854842,#Leave无缘亚运会# EDG下路选手Leave深夜开播，表示目前训练室只有自己一个人，除了两位队友在睡觉，其他几位队友都去拍亚运会定妆照了如果Leave无缘亚运会，你觉得亚运会中国队的AD选手是谁？#2023LPL春季赛##杭州亚运会# 咪咕电竞的微博视频 ,🎁可别去了，就他那打法，输了可会被骂死的,我再也不敢吃饭了,m,False,-1,0,46,255,84,14,2023/04/17,2023/4/17,11:58:55,0,2
7782432252,6306175709,#Leave透露队友拍亚运定妆照#Leave在直播中说：今天训练室又只有我一个人，有两个在睡觉，还有几个都去拍定妆照去了，亚运会的定妆照，算不算提前透漏给你们了？#杭州亚运会##2023LPL#leave胡洪超 新京报电竞的微博视频 ,…你不能不发出来吗,何止今晚心动_,f,False,-1,0,408,344,79,4,2023/04/17,2023/4/17,12:10:01,3,1
5042958097,3493340680,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,xiaohu要回RNG了据说因为夏季赛不需要,mlzang,m,False,220,0,0,8,45,14,2023/04/17,2023/4/17,11:06:53,9,11
5042958097,1809571254,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,阿布这下压力不小啊，国家队成绩不好的话EDG估计都得被连坐一起挨喷,晶灵羽,m,True,0,0,1875,207,843,40,2023/04/17,2023/4/17,12:10:18,3,5
5042958097,5574398189,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,这人又开始了？,我永远24岁丶,m,False,-1,0,345,282,65,9,2023/04/17,2023/4/17,12:11:11,0,11
5042958097,5582948340,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,亚运会名单：biubiu ning angel huanfeng baolan,IreneWdy,m,False,-1,0,163,710,118,9,2023/04/17,2023/4/19,10:55:00,2,3
5042958097,5313670910,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,369 jiejie 懦手 elk missing 替补meiko,K情K禽,m,False,-1,0,83,293,183,14,2023/04/17,2023/4/18,10:51:19,1,2
5042958097,5544635095,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,开送 是朱开和谁,CheungSau,m,False,-1,0,2,125,18,4,2023/04/17,2023/4/18,09:53:50,1,0
5042958097,5882107746,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,？,LKkainaN,m,False,-1,0,106,267,115,14,2023/04/17,2023/4/17,11:05:45,0,2
5042958097,5642668292,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,党员带队,S11英雄联盟全球总决赛冠军EDG,m,False,-1,0,3042,473,187,14,2023/04/17,2023/4/17,16:20:33,0,0
5042958097,5511480360,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,他下跪了吗？,比卡波-,m,False,-1,0,2299,1271,1389,30,2023/04/17,2023/4/18,14:12:11,0,1
5042958097,2165546293,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,阿布带着姐姐的亡魂遗志冲鸭,DJ热热热,m,False,-1,0,4,104,184,27,2023/04/17,2023/4/19,12:19:56,0,0
5042958097,2288219870,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,教练不能有外国人吗,鹿城区第一亚索,m,False,-1,0,413,520,156,29,2023/04/17,2023/4/17,11:05:27,5,2
5042958097,3493340680,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,xiaohu要回RNG了据说因为夏季赛不需要,mlzang,m,False,220,0,0,8,45,14,2023/04/17,2023/4/17,11:06:53,9,11
5042958097,1809571254,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,阿布这下压力不小啊，国家队成绩不好的话EDG估计都得被连坐一起挨喷,晶灵羽,m,True,0,0,1875,207,843,40,2023/04/17,2023/4/17,12:10:18,3,5
5042958097,5574398189,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,这人又开始了？,我永远24岁丶,m,False,-1,0,345,282,65,9,2023/04/17,2023/4/17,12:11:11,0,11
5042958097,5582948340,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,亚运会名单：biubiu ning angel huanfeng baolan,IreneWdy,m,False,-1,0,163,710,118,9,2023/04/17,2023/4/19,10:55:00,2,3
5042958097,5313670910,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,369 jiejie 懦手 elk missing 替补meiko,K情K禽,m,False,-1,0,83,293,183,14,2023/04/17,2023/4/18,10:51:19,1,2
5042958097,5544635095,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,开送 是朱开和谁,CheungSau,m,False,-1,0,2,125,18,4,2023/04/17,2023/4/18,09:53:50,1,0
5042958097,5882107746,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,？,LKkainaN,m,False,-1,0,106,267,115,14,2023/04/17,2023/4/17,11:05:45,0,2
5042958097,5642668292,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,党员带队,S11英雄联盟全球总决赛冠军EDG,m,False,-1,0,3042,473,187,14,2023/04/17,2023/4/17,16:20:33,0,0
5042958097,5511480360,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,他下跪了吗？,比卡波-,m,False,-1,0,2299,1271,1389,30,2023/04/17,2023/4/18,14:12:11,0,1
5042958097,2165546293,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,阿布带着姐姐的亡魂遗志冲鸭,DJ热热热,m,False,-1,0,4,104,184,27,2023/04/17,2023/4/19,12:19:56,0,0
5042958097,2288219870,【涵艺谈亚运会教练名单和选手Tangyuan】亚运会教练组就是国电三雄 开送➕阿布 我看网上说汤圆那事儿，他会去Al试训  #杭州亚运会##2023LPL# ,教练不能有外国人吗,鹿城区第一亚索,m,False,-1,0,413,520,156,29,2023/04/17,2023/4/17,11:05:27,5,2
7128856173,3118318411,#2023lpl# #杭州亚运会# 前V5教练、LPL媒体人（微博ID:丶涵艺）爆料：“亚运会教练组就是国电三雄 开送➕阿布” ,没有脚神我不认可,大叔萝莉控彡,m,False,-1,0,961,727,168,14,2023/04/17,2023/4/19,12:15:43,0,0
6861376748,7726813699,【你猜测的LOL亚运会选手都包括谁】Leave夜间直播：今天训练室又只有我一个人，有两个在睡觉，还有几个都去拍定妆照去了，亚运会的定妆照，算不算提前透漏给你们了？这也是能说的吗？是不是可以确定jiejie和meiko了？#英雄联盟##杭州亚运会# 安齐ace的微博视频 ,已知leave没去 fofo湾湾去不了 ale其实也有可能 集训每个位置都是两三个人去,草莓酸奶_布丁,f,True,0,0,25464,1801,385,0,2023/04/17,2023/4/17,16:47:05,0,1
6861376748,6480095543,【你猜测的LOL亚运会选手都包括谁】Leave夜间直播：今天训练室又只有我一个人，有两个在睡觉，还有几个都去拍定妆照去了，亚运会的定妆照，算不算提前透漏给你们了？这也是能说的吗？是不是可以确定jiejie和meiko了？#英雄联盟##杭州亚运会# 安齐ace的微博视频 ,ale季后赛的发挥，可能性应该不大吧,笑眯眯的鼠儿,f,False,-1,0,6639,589,620,0,2023/04/17,2023/4/17,16:47:07,0,1
6861376748,3408912102,【你猜测的LOL亚运会选手都包括谁】Leave夜间直播：今天训练室又只有我一个人，有两个在睡觉，还有几个都去拍定妆照去了，亚运会的定妆照，算不算提前透漏给你们了？这也是能说的吗？是不是可以确定jiejie和meiko了？#英雄联盟##杭州亚运会# 安齐ace的微博视频 ,阅读理解，两个在睡觉，他在直播。不是只有两个嘛，肯定是野辅了啊。,黄脸的小猪猪,f,False,-1,0,30434,1365,8380,4,2023/04/17,2023/4/17,16:46:42,0,1
6861376748,7636220831,【你猜测的LOL亚运会选手都包括谁】Leave夜间直播：今天训练室又只有我一个人，有两个在睡觉，还有几个都去拍定妆照去了，亚运会的定妆照，算不算提前透漏给你们了？这也是能说的吗？是不是可以确定jiejie和meiko了？#英雄联盟##杭州亚运会# 安齐ace的微博视频 ,这两年有成绩的队伍，不就是EDG，RNG，TES，JDG嘛，然后把韩援去掉，EDG就野辅，RNG在MSi 的5个人，tes的ADC，JDG上中，刚好10个人,超爱奶油曲奇_,f,False,-1,0,41315,1625,574,0,2023/04/17,2023/4/17,16:46:31,0,1
